Sentiment,Thema,Top_Wörter
Positive Reviews,Thema 1,"service, great, fast, excellent, food, place, clean, nice, staff, friendly"
Positive Reviews,Thema 2,"ok, manager, said, asked, egg, didnt, door, pm, told, employee"
Positive Reviews,Thema 3,"good, order, food, mcdonalds, time, always, get, drive, like, hot"
Negative Reviews,Thema 1,"fry, poor, cold, terrible, mcdonalds, food, chicken, ordered, worst, sandwich"
Negative Reviews,Thema 2,"dirty, mcdonalds, place, table, mc, people, like, bathroom, homeless, area"
Negative Reviews,Thema 3,"order, service, food, drive, minute, customer, get, time, bad, slow"
